timestamp,tvlUSD,tvlETH,BTC,ETH,DAI
1616162400,44733574431,"24664302,73","34107,27088","9207964,772",1461525308
1616112000,40599941896,"22851320,93","25836,72652","8839879,852",1399169047
1616025600,41338536979,"22669015,71","25837,76357","8809898,622",1403967815
1615939200,40366999139,"22365475,34","25718,95587","8745425,181",1400138371
1615852800,41597044776,"23216134,56","25777,2214","8930172,302",1411109581
1615766400,43133167841,"23326321,62","26151,16919","8899829,654",1423714845
1615680000,44549981637,"23183192,38","25650,56579","8869790,853",1425523240
1615593600,42786562028,"24215747,46","32827,29446","8951839,418",1402333007
1615507200,41832814228,"22898125,37","31361,3528","8751658,191",1412154171
1615420800,41377727588,"23030232,37","32212,26307","8744474,938",1393309556
1615334400,42175237126,"22545645,45","33278,5779","8642438,793",1431180274
1615248000,40878174072,"22326575,75","33106,19491","8591981,469",1494881159
1615161600,39250654914,"22752947,64","35019,82015","8655907,461",1494934792
1615075200,40920419342,"24779079,3","44242,59981","8834425,432",1444558060
1614988800,39472023912,"25815750,21","44969,63008","8880981,109",1405715507
1614902400,39558961055,"25691640,94","45342,97221","8854645,962",1423529661
1614816000,40523482831,"25788303,88","45171,67337","8781966,74",1453065402
1614729600,38993673405,"26165860,36","45021,6374","8813130,461",1476694893
1614643200,39475319859,"25132950,39","44740,55414","8701537,323",1439383742
1614556800,36283257202,"25555908,89","46091,76558","8790260,66",1328210820
1614470400,37041966782,"25352976,82","46722,24942","8779262,131",1269394394
1614384000,36522502780,"25271066,04","46984,01765","8704069,055",1268397519
1614297600,37133177961,"25160366,13","48701,67469","8769926,982",1290685994
1614211200,39655371317,"24406159,07","48255,27908","8699194,719",1305211318
1614124800,38053410378,"24134845,17","48753,19485","8639623,618",1231082031
1614038400,42621497156,"23953812,22","48732,7636","8648838,982",1383508988
1613952000,45311420881,"23388109,08","48715,99794","8595951,65",1469804907
1613865600,44921583539,"23393855,7","48849,15905","8599041,777",1466748870
1613779200,44683959612,"22823906,59","48730,81486","8508119,183",1453270171
1613692800,44194841091,"22765121,56","49898,8578","8504888,95",1483110295
1613606400,43544057773,"23518894,8","50265,41267","8584452,747",1272606182
1613520000,42231397141,"23684787,47","49331,87718","8563606,181",1246313715
1613433600,42120830462,"23669504,74","50880,57274","8599049,477",1134396906
1613347200,42715105877,"23671304,61","50840,13736","8568460,31",1083413209
1613260800,43159325378,"23752414,84","50664,44981","8623879,617",1122239536
1613174400,44079240977,"23879538,97","50952,98711","8603286,611",1127016407
1613088000,42956562378,"24025057,4","51099,4562","8627644,359",1104470556
1613001600,41121248183,"23586000,36","52222,24752","8579315,963",1047763351
1612915200,41348157864,"23312993,2","50711,40642","8625915,552",1041083912
1612828800,39552755174,22605708,"48274,73804","8471638,561",1006295511
1612742400,36345681935,"22507017,29","50057,89628","8446054,749","979651717,7"
1612656000,37025306986,"22047534,74","50276,15923","8379567,032",1048438991
1612569600,37766429620,"21956205,3","49920,20983","8440166,049",1045455108
1612483200,34925137093,"21853752,26","47531,03878","8312439,064","989897992,6"
1612396800,34261545690,"20587891,6","46475,10438","8100797,82","970659804,3"
1612310400,31561064862,"20843254,81","45591,70643","8048756,703","942601105,1"
1612224000,29638521593,"21552153,57","44221,69453","8036004,506","945334704,9"
1612137600,28619220902,"21778240,12","45094,14882","7971157,621","941261186,1"
1612051200,29397777466,"21333500,82","44974,29907","7841573,242","951679489,3"
1611964800,28796209981,"20867272,46","44494,05451","7730992,404","927395072,4"
1611878400,28013672882,"21059270,11","44138,51683","7693491,016","920897807,9"
1611792000,26039188020,"20859552,53","43242,31008","7661398,515","930978533,5"
1611705600,27548374439,"20176785,76","43551,6058","7561040,741","938004554,3"
1611619200,26823037072,"20318789,4","41663,63268","7580684,605","912441877,9"
1611532800,27404096948,"19769365,63","39188,39623","7527092,298","875859313,9"
1611446400,25127025899,"20367704,41","38156,24561","7533936,853","830158635,6"
1611360000,24582842847,"19871667,84","37766,65043","7482700,835","791869038,9"
1611273600,22512134033,"20169090,76","38524,64382","7430999,059","758833153,2"
1611187200,26172820967,"18999543,37","38598,353","7404719,533","753979100,4"
1611100800,25707775723,"18735397,53","37043,66304","7361264,163",751502594
1611014400,25234086947,"20053950,89","36031,45513","7555700,934","753460716,4"
1610928000,24678243797,"20020641,71","33564,60637","7493839,1",736807845
1610841600,24226883049,"19701618,33","32699,18678","7413560,414",710915174
1610755200,23375864947,"19938302,26","33441,72286","7380952,917","613512630,5"
1610668800,24274195203,"19805968,67","32848,06428","7281720,967","646224654,6"
1610582400,23352787186,"20663257,58","32438,93044","7191072,721","714725117,8"
1610496000,21480324355,"20463103,48","32794,21229","7176685,567","727646883,5"
1610409600,21565080000,"19825947,85","32703,19543","7115477,659","725868216,2"
1610323200,23864594311,"18989285,22","31417,33553","7026834,311","783651639,3"
1610236800,24119912664,"18852518,89","30397,60228","7055330,916","820499609,1"
1610150400,22920366690,"18835045,35","29906,34548","7015708,522","826285485,6"
1610064000,22704444411,"18439858,37","30518,1584","6955348,046","748382217,9"
1609977600,22459786848,"18572398,18","31203,06925","7017956,496","735347902,1"
1609891200,21171928493,"19238637,78","30990,75501","7139522,588","716679453,6"
1609804800,19500130983,"18824700,72","31107,91179","7132433,016","692319660,4"
1609718400,18903438607,"19388341,02","30996,73916","7331292,741","499519873,9"
1609632000,16768818852,"21737881,09","32560,98552","7478493,632",515499638
1609545600,16075408266,"22038919,49","32292,20031","7519497,387","529663536,9"
1609459200,15764188182,"21379518,79","32134,78494","7432522,672","542013673,1"
1609372800,15721442249,"20902837,64","32238,99137","7409347,54","557740786,4"
1609286400,16456392624,"22499237,95","32688,8791","7471693,718","636809081,8"
1609200000,16194680292,"22210354,92","33224,86871","7441619,664","641556037,3"
1609113600,15725782075,"23021537,54","33834,65511","7465108,564","660341645,8"
1609027200,15460376942,"24320623,17","34358,09016","7534599,828","715807745,3"
1608940800,15321157991,"24473911,36","34523,13565","7510883,66","945585030,5"
1608854400,14970460967,"24445560,04","35028,65266","7507376,046","928406911,9"
1608768000,14623503766,"22585957,07","33791,95914","7451793,559","982150709,4"
1608681600,15259264636,"24252236,42","33499,32995","7468077,151","995637719,2"
1608595200,14709978318,24264282,"33807,91436","7477741,005",1005910188
1608508800,15036800977,"23774726,04","33048,8865","7448947,055","993321051,3"
1608422400,15342048929,"23607147,25","32788,37052","7358968,892",1027196104
1608336000,14859641535,"23132887,38","32608,47055","7324023,741",1003921335
1608249600,14629436695,"22877440,22","32873,81855","7278412,964",1016383721
1608163200,14521379014,"22967053,65","31764,24052","7278032,731",1044791822
1608076800,14187844740,"24151578,42","45426,30646","7280962,934",1036476891
1607990400,13984498524,"23897772,52","44738,89008","7222588,045",1032452279
1607904000,13841607860,"23455581,68","43894,01836","7222141,614",1030875893
1607817600,13462877237,"23599209,85","43553,57629","7170230,461",1056189252
1607731200,13012255776,"23828478,93","43296,62692","7159349,152",1013311038
1607644800,13257088394,"23612653,88","43000,00717","7112902,812",1042817489
1607558400,13500399591,"23567076,18","42021,40963","7141733,876",1047492258
1607472000,13235143579,"23708698,01","41842,69102","7152066,252",1035643208
1607385600,13877111741,"23499816,67","42366,08305","7141206,618",1016725201
1607299200,13711415186,"23029687,24","41222,23725","6936897,983",1000350591
1607212800,13588001965,"22881202,26","40544,67386","6884955,19",991023924
1607126400,12963421465,"22706593,8","40043,34173","6830033,816","976814367,2"
1607040000,13630675129,"22221873,73","39041,4206","6846500,023",1007476771
1606953600,13342208047,"22432550,48","38542,69295","6875020,075","978837716,8"
1606867200,12945465634,"22109348,33","38020,92509","6857987,41",1017099420
1606780800,13338635972,"21752859,59","39319,02735","6850600,929",1038261023
1606694400,12530350562,"21649591,49","38804,83264","6848454,603",1042532829
1606608000,12058211504,"22337880,93","38348,53372","6925529,88",1030194706
1606521600,11638507148,"22249530,96","38305,76739","7298588,571",1015961969
1606435200,11725651887,"22591907,61","38691,46973","7438277,247",1016877821
1606348800,12441125185,"21791745,08","38539,82527","7513979,053",1038156675
1606262400,12822679418,"21323864,46","38433,17503","7497149,149",1031753941
1606176000,12873633349,"21262215,05","38400,29724","7644246,021",1014916155
1606089600,12992974733,"23195941,61","39088,03936","7721669,255",1016685161
1606003200,12920819146,"23561798,65","39415,47232","7170792,416",1024856785
1605916800,12769827023,"25343495,39","40772,75465","7167136,041",1076620185
1605830400,12260137916,"26135446,42","40789,55004","7198837,964",1080407380
1605744000,12383343846,"25968510,35","41661,07425","7201238,71",1172657491
1605657600,12021441689,"25729576,49","44450,04516","7209561,576",1168490688
1605571200,12371720428,"27664656,05","45020,22836","8701146,291",1118267081
1605484800,12117951412,"27747024,51","46005,70777","8971438,588",1125179791
1605398400,12389337099,"27552572,46","46371,86233","9093530,791",1117065835
1605312000,12595236556,"27088719,61","46763,9507","9085998,906",1136256500
1605225600,12194459737,26950661,"46805,77829","9059948,595",1125727779
1605139200,12289517133,"27070747,8","46676,53731","9079830,994",1126430555
1605052800,12070199373,"27473771,01","46558,62126","8930324,203",1058405312
1604966400,11669241876,"26825458,25","46501,61377","8913709,297",1017787871
1604880000,11441902223,"25815318,36","46329,0695","8709682,254","940763373,8"
1604793600,11038320408,"25825830,01","46390,39083","8759848,018","961414881,2"
1604707200,11369196510,"25480274,19","47264,41117","8863665,103",978235835
1604620800,10816677251,"26746162,33","48082,39831","8974258,047","956972592,6"
1604534400,10457644481,"26731068,95","48844,61848","9012614,662","938361121,3"
1604448000,10245464541,"27150541,06","48769,55099","9051976,397","953055785,9"
1604361600,10209141166,"27151135,31","50979,98229","9138678,358","941583406,3"
1604275200,10467340805,"27178023,76","50469,01448","9200949,491","918700082,5"
1604188800,10362818933,"27444766,37","49580,34085","9258541,003","904903559,4"
1604102400,10256770043,"27474482,98","48576,20782","9161858,25","916634683,4"
1604016000,10301007274,"27397446,44","48344,63553","9178363,736","926329457,7"
1603929600,10528994690,"27720552,23","49084,41888","9197223,515","984968839,8"
1603843200,10792716708,"27483376,61","49238,40467","9255726,271",1037973061
1603756800,10594592710,"27508045,82","48466,54973","9289589,438",1064169124
1603670400,11817171406,"29647859,26","60948,28319","9468364,12",1141414889
1603584000,11843989944,"29479037,6","61149,10361","9353721,796",1147736040
1603497600,11725150084,"29256627,82","61028,80653","9221319,313",1148427100
1603411200,11755327860,"28970261,67","63027,38766","9247671,047",1092606758
1603324800,11493995080,"30053591,6","64517,74135","9453151,031",1061233404
1603238400,11075265215,"30643589,5","58875,85215","9591634,754",1051570124
1603152000,11210817814,"30132538,76","57315,67578","9540358,667",1032906006
1603065600,11295905045,"30419274,34","57170,86254","9457651,58",1054075173
1602979200,11156711774,"30712492,14","57775,63658","9502639,66",1068475009
1602892800,11113033137,"30856592,88","57117,38108","9518797,033",1068624601
1602806400,11317869876,"30716619,93","57545,18497","9435352,669",1057544821
1602720000,11312442911,"30417484,18","56126,94702","9238799,535",1049892587
1602633600,11289731530,"30106862,67","56002,43369","8984826,617",1042066973
1602547200,11425563742,"30111036,7","55435,7177","8974352,613",1011152671
1602460800,11263012077,"30555291,03","55242,83643","9047088,85",999026400
1602374400,11123820884,"30470061,29","53790,20417","8951911,558","983867592,4"
1602288000,10963553899,"30443768,11","51283,65625","8847515,686","976321508,8"
1602201600,10645991362,"30738745,09","50192,07988","8927430,298","954276357,3"
1602115200,10303327462,"30610288,56","49883,91987","8840280,967","949088536,1"
1602028800,10425660798,"30948162,46","50001,87035","8770525,101","957217005,9"
1601942400,10794242884,"31054418,74","49540,92313","8800455,871",925115035
1601856000,10952639069,"31448969,42","50805,51186","8935630,305","929256147,3"
1601769600,10906744508,"31815566,33","49472,05544","8977625,47","935608677,8"
1601683200,10744814709,"31389908,8","48585,41068","8901248,114","932400981,9"
1601596800,10913587707,"31216587,28","47195,91906","8949530,542","952107414,6"
1601510400,10886593248,"30587368,07","46964,74341","8709446,321","978043971,3"
1601424000,10961539655,"30876761,63","46368,39817","8708524,462",1003868240
1601337600,11043482238,"31541990,98","46183,95428","8758999,938",1015674033
1601251200,10926223801,"30962076,14","45906,29495","8536019,877",1033348096
1601164800,10885621740,"31017078,8","45315,93888","8465009,004",1045466413
1601078400,10714389908,"30651171,5","44305,75185","8397154,568",1015786881
1600992000,10418117030,"30175793,97","43534,47042","8294649,678",1013411001
1600905600,9976475628,"31107667,71","43189,99194","8195756,261","996400545,8"
1600819200,9913247936,"29081463,94","41976,16437","8402421,682","924945001,7"
1600732800,9732135417,"28909470,05","41790,42887","8603791,375","884604372,6"
1600646400,10147720321,"27729459,26","42976,51693","8633530,859","862241471,4"
1600560000,10417943361,"27465505,22","53975,4461","8709009,803","801486514,2"
1600473600,10583044792,"27906545,76","53653,92978","8933479,649",718864148
1600387200,10643056927,"27642434,5","56819,31809","9767287,573","681697499,5"
1600300800,9900757711,"27419569,12","58139,48214","9794040,127","678086611,2"
1600214400,9998590176,"27701900,43","58475,37022","9326011,237","729247838,9"
1600128000,10269799429,"27441652,75","57612,53673","9308513,239","608979047,8"
1600041600,10128559904,"27715928,77","44193,18222","7393098,243","515577674,8"
1599955200,10346023957,"26788713,93","39088,57075","6688504,361","460513259,5"
1599868800,9900809136,"26591990,16","35792,17315","6460639,611","442280125,4"
1599782400,9596589282,"26144048,98","37710,01252","5843097,384","408630149,7"
1599696000,8880510342,"25386824,13","39058,60424","5902281,869","465426205,7"
1599609600,8195849617,"24555543,49","33557,12113","5908270,59","468958105,6"
1599523200,8418387768,"24197488,34","33344,24228","6615004,606","463781672,9"
1599436800,8301578894,"23684218,58","33120,11169","6761665,844","470297552,7"
1599350400,7832434532,"23514240,18","32179,83058","6971164,301","487077546,7"
1599264000,8738948809,"22770034,67","32845,46287","6789487,731","452721321,5"
1599177600,8564425272,"22420161,98","32836,09439","6859208,801","521583047,5"
1599091200,9217999901,"21241521,77","32744,70794","5265543,739","471475073,5"
1599004800,9389400216,"20151925,41","28974,03821","5084402,404","445933629,1"
1598918400,8474524072,"19859940,34","28223,3647","5127363,965","485339010,2"
1598832000,8391765342,"19920576,88","25064,66948","5126843,425","486929649,3"
1598745600,7927877473,"20112205,31","23834,80498","5592377,825","467070262,1"
1598659200,7621153646,"19571029,86","23237,27318","5598975,592","467821351,4"
1598572800,7099677988,"18840377,99","21763,71491","4986394,247","549196654,6"
1598486400,7251742390,"19030405,55","13002,85338","4857527,933","565727135,8"
1598400000,6860708032,"18148904,9","10986,1215","6459630,066","568949661,8"
1598313600,6815882620,"17043545,78","10447,89359","6614349,39","512448007,2"
1598227200,6732199115,"17576163,33","10870,3271","6504004,909",635038705
1598140800,6760130659,"17475251,54","10509,84679","6076407,223","649182701,2"
1598054400,6461029586,"17012573,42","9791,332078","6754996,85","644187606,6"
1597968000,6654566227,"16353587,64","9906,982846","6546102,834","649574673,2"
1597881600,6286090940,"15780580,17","10310,59029","6383288,733","606253781,2"
1597795200,6225513079,"15023754,26","11147,44466","6205154,288",579460371
1597708800,6262008793,"14860053,54","11608,06519","5808143,366","575721935,1"
1597622400,6109315238,14580930,"11008,87074","5315083,049",552935477
1597536000,5766645712,"13679194,81","7010,744483","4991733,701","518036412,7"
1597449600,5622256683,"13214198,53","5482,726556","4838926,255","546114297,4"
1597363200,4875814506,"11889868,27","4213,64317","4567249,772","527947603,7"
1597276800,4583381239,"12146139,83","4255,581998","4458393,898","518764607,1"
1597190400,4557309417,"12328922,53","4153,950846","4467793,506",519131090
1597104000,4702218634,"12181120,52","4211,333524","4502566,715","502962163,7"
1597017600,4585916417,"11966120,9","2209894,962","4406904,895","465840728,4"
1596931200,4527356716,"11700366,91","4210,175638","4381251,933","476240198,4"
1596844800,4372412153,"11732150,77","4285,359508","4381347,166","472805750,8"
1596758400,4417837380,"11437871,21","4249,182618","4370513,357","454535169,5"
1596672000,4446727590,"11348470,44","4196,349416","4486878,007","476204736,4"
1596585600,4263443491,"11167854,89","3656,394707","4444012,863","520166728,7"
1596499200,4192888091,"11053006,19","3667,911953","4377833,204",528170211
1596412800,4092687235,"11225509,62","3791,778641","4421775,871","511406979,9"
1596326400,4109986378,"10841437,51","3733,592964","4363550,964","512805784,6"
1596240000,3904412529,"11501674,04","3484,622261","4368182,571","477341051,9"
1596153600,3811507822,"11521925,02","3385,379979","4346389,545","459213800,8"
1596067200,3689105363,"11712746,55","3281,180485","4339015,908","439747246,8"
1595980800,3596054647,"11505932,47","3127,699157","4238792,556","402962382,3"
1595894400,3539090362,"11171620,5","2882,984476","4231040,586","403844405,1"
1595808000,3656975794,"11917628,4","2760,776181","4183263,696","400614983,7"
1595721600,3908218847,"13070209,35","2511,786578","4158853,687","373748258,9"
1595635200,3671379287,"13330330,65","2365,414596","4187755,758","373107581,4"
1595548800,3566630631,"13129958,26","2391,949908","4081438,958","333337253,1"
1595462400,3329676195,"12828202,84","2424,766132","3938982,013","315257918,8"
1595376000,3041142167,"12578812,58","2466,338889","3816294,874","278203322,9"
1595289600,2949231356,"12625378,69","2590,142213","3719130,357","293450922,9"
1595203200,2769406111,"11790908,72","2473251,185","3701039,622","297263404,3"
1595116800,2627415023,"11282762,5","2944,71663","3654060,53",274146819
1595030400,2554599588,"11183327,25","3147,654967","3645179,518","263311771,1"
1594944000,2526725948,"10927477,23","3059,895126","3627582,704","195325438,6"
1594857600,2521712793,"10724197,72","3076,758182","3713346,195","153939161,4"
1594771200,2481124060,"10483822,5","3096,853469","3695715,504","136403176,7"
1594684800,2416944091,"10260202,85","3080,687243","3693249,701","131424379,2"
1594598400,2443451039,"10274141,05","3122,632174","3744315,456","133969474,2"
1594512000,2439146124,"10371211,66","2899,430218","3790932,767","148416182,8"
1594425600,2372113727,"10016281,96","2801,822733","3648876,658",157665511
1594339200,2346866499,"9884568,064","2847,969443","3577069,094","177563051,7"
1594252800,2365516303,"9794731,199","2767,072461","3566898,15","184186866,5"
1594166400,2239292080,"9544416,699","2727,730624","3504104,192","172945421,3"
1594080000,2212403890,"9358110,315","2657,398128","3442360,793",165665911
1593993600,2111438458,"9355199,607","2656,134341","3435314,917","160112655,3"
1593907200,2096655645,"9197128,021","2571,726579","3432080,938","153375147,9"
1593820800,2059591721,"9177135,524","2508,952686","3377142,118",141706926
1593734400,1952147003,"8690040,476","2356,346972","3210377,814","128305273,4"
1593648000,1945131618,"8460824,598","2245,269232","3149039,703","124269747,7"
1593561600,1802942676,"8048697,155","2240,09413","3096780,213","106847012,3"
1593475200,1858824335,"8260600,522","2545,376676","3121267,607","106586485,4"
1593388800,1848230957,"8270993,795","2538,149413","3077113,424","102886494,8"
1593302400,1831327764,"8321602,91","2497,339585","3263204,587","97575040,72"
1593216000,1833750845,"8039953,857","2368,320634","3182776,556","93702654,29"
1593129600,1820070921,"7860947,013","2341,324199","3157428,071","91408896,73"
1593043200,1739841181,"7479393,172","2261,672061","3139524,311","81876662,74"
1592956800,1693473987,"7074237,332","2124,633999","3207148,492","60656978,51"
1592870400,1632982358,"6857513,347","2011,972836","3196018,798","33969597,3"
1592784000,1638748922,"7213592,81","1861,372437","3136151,224","38373383,81"
1592697600,1552513314,"6829253,961","1772,920758","3360998,667","47875771,29"
1592611200,1465518554,"6485729,484","1652,59846","3398161,308","47039949,55"
1592524800,1358773463,"5990159,432","1537,468619","3364521,698","49028820,23"
1592438400,1229083522,"5384935,891","1510,944192","3358339,771","45683835,73"
1592352000,1149017994,"4999541,307","1507,765138","3337297,372","43186623,48"
1592265600,1073091601,"4758272,795","1477,594045","3250451,803","38168972,09"
1592179200,1068310389,"4700201,861","1461,551967","3284105,676","39163211,33"
1592092800,1089108258,"4693669,427","1409,184678","3429903,138","36436365,99"
1592006400,1099623053,"4722825,31","1390,121758","3405275,273","41445792,68"
1591920000,1060949756,"4702102,736","1449,532478","3163760,958","39425065,49"
1591833600,1070395439,"4465568,043","1444,402259","2926219,588","38393952,28"
1591747200,1073812717,"4509979,322","1474,276604","2875015,124","38740199,97"
1591660800,1100666779,"4576561,321","1393,031162","2852405,278","36862539,6"
1591574400,1111737161,"4669528,549","1360,934541","2839699,566","47206942,3"
1591488000,1118034874,"4744772,284","1350,549602","2767934,365","42224828,3"
1591401600,1110696328,"4732406,412","1374,309449","2727823,371","45645009,31"
1591315200,1092912245,"4621407,206","1286,530437","2711908,248","44359293,99"
1591228800,1067322459,"4500490,954","1285,237044","2704067,614","46864407,44"
1591142400,1024781039,"4427349,76","1281,560411",2692071,"32528999,28"
1591056000,1041685503,"4375553,729","1675,016586","2661264,401","35124122,2"
1590969600,1012667254,"4481468,56","1266,675593","2743983,248","37091392,14"
1590883200,1043451324,"4393780,437","1270,15936","2705994,48","37324118,88"
1590796800,"965396151,4","4510510,496","1261,385475","2719858,943","45014042,22"
1590710400,"959746882,6","4503603,384","1227,122981","2701750,558","44947913,44"
1590624000,929592205,"4597190,938","1222,727494","2685724,895","45128428,89"
1590537600,"918551756,8","4637435,893","1202,48388","2676157,534","44951565,29"
1590451200,"923878319,1","4588601,472","1204,876219","2681687,084","43314949,6"
1590364800,"916416767,4","4567263,177","1202,994864","2685103,12","34997600,35"
1590278400,"935036154,7","4580585,928","1213,972882","2660632,574","36957873,09"
1590192000,"942793469,2","4619832,427","1216,6866","2633920,812","39955389,01"
1590105600,"906343970,9","4559011,16","1216,082123","2650013,999","37079982,65"
1590019200,940001049,"4519287,066","1198,73381","2667416,656","37737466,69"
1589932800,"953101562,9","4465093,319","1204,417008","2673879,521","37073962,58"
1589846400,"947386022,9","4428430,73","1204,845809","2673014,168","35122722,8"
1589760000,920891399,"4463670,196","1201,775301","2643910,488","35634087,82"
1589673600,"905531317,7","4514473,268","1203,429671","2650166,575","35064339,66"
1589587200,"885921967,3","4545173,948","1191,722941","2661964,568","35248045,38"
1589500800,"911137392,3","4496292,428","1186,191326","2660411,395","35638114,05"
1589414400,"900968232,7","4505782,897","1181,416742","2640421,732","37612628,21"
1589328000,"882088773,6","4602751,092","1183,307064","2722072,956","37807186,97"
1589241600,"875362421,8","4688391,335","1186,878926","2767510,774","38362514,67"
1589155200,"891179066,2","4740456,283","1184,161356","2834955,82","37330232,79"
1589068800,"956673014,1","4579337,247","1179,411934","2846341,728","35958094,37"
1588982400,"957337658,3","4550620,19","1181,737896","2843085,75","36249360,34"
1588896000,"950248172,3","4509636,954","1177,306034","2832660,981","36403920,59"
1588809600,"925023726,9","4662673,738","1187,646997","2828967,838","35760919,92"
1588723200,"915421617,1","4466656,323","1096,407051","2831169,089","35527387,08"
1588636800,"910957279,8","4406351,27","1094,488474","2810693,285","38392349,9"
1588550400,"920663374,7","4381769,144","1086,412771","2787513,314","39374297,87"
1588464000,"926049895,2","4347993,426","1090,87133","2792944,183","40479678,71"
1588377600,"906217997,4","4266146,305","1087,73632","2786757,992","32009247,71"
1588291200,"884708621,6","4284450,621","1092,932815","2797762,383","31235194,13"
1588204800,"936184526,8","4364211,281","1089,193622","2846786,337","30815727,28"
1588118400,"864917895,4","4412879,449","1083,260644","2801741,655","31503407,47"
1588032000,864135679,"4411690,986","1089,816785","2801662,446","31752314,22"
1587945600,"829829845,6","4230241,218","1086,545317","2822985,443","32628617,86"
1587859200,"833823998,3","4299861,259","1080,537771","2789898,788","34916043,44"
1587772800,"815847103,5","4362698,767","1080,278671","2798821,827","34513773,21"
1587686400,"804539393,1","4352872,279","1091,404551","2748726,478","33026962,71"
1587600000,"818364917,8","4455287,363","1100,027109","2797178,344","25417430,4"
1587513600,"775426391,3","4475790,413","1102,494621","2791127,916","25845782,55"
1587427200,"776865838,2","4484584,196","1105,709701","2784324,502","25765958,31"
1587340800,"807718666,5","4437570,808","1107,637768","2761252,53","28265112,35"
1587254400,"818909048,2","4332991,967","1114,205766","2700555,529","28732086,3"
1587168000,"766300864,9","4443097,058","1109,15543","2671491,842","28919650,4"
1587081600,"768015595,1","4430480,186","1108,316953","2665978,888","28037630,35"
1586995200,"704049811,1","4509042,165","1105,564944","2658474,375","28580779,45"
1586908800,"726493527,7","4509222,025","1106,188906","2642440,925","29094262,2"
1586822400,"714493350,5","4543752,995","1096,916503","2642369,151","29370578,79"
1586736000,724050945,"4546490,355","1091,354976","2650460,225","28893722,52"
1586649600,"718579297,2","4505002,885","1083,912064","2641510,105","29251415,27"
1586563200,"712184951,2","4506363,601","1085,034235","2651543,04","31619953,47"
1586476800,"752727537,6","4429023,02","1060,836175","2643771,468","33056730,74"
