timestamp,spy_price,btc_price,gld_price,bnd_price
2019-01-02,245.979996,3711.4299882446844,121.330002,79.370003
2019-01-03,248.229996,3837.182279535572,122.430000,79.680000
2019-01-04,247.589996,3827.3418929125796,121.440002,79.440002
2019-01-07,252.690002,3784.865569658102,121.860001,79.320000
2019-01-08,256.820007,4019.4743109644955,121.529999,79.220001
2019-01-09,257.559998,4015.861240013067,122.309998,79.330002
2019-01-10,256.260010,4008.213984342695,121.589996,79.169998
2019-01-11,257.679993,3750.4653526028865,121.800003,79.330002
2019-01-14,256.859985,3638.1251657938124,122.089996,79.260002
2019-01-15,257.820007,3621.9897583341876,121.879997,79.269997
2019-01-16,260.829987,3624.5260460920113,122.269997,79.300003
2019-01-17,260.010010,3605.4264416936476,122.110001,79.209999
2019-01-18,264.980011,3607.2955957124136,121.019997,79.150002
2019-01-22,264.820007,3613.2092964851763,121.449997,79.290001
2019-01-23,264.010010,3535.573275375434,121.279999,79.370003
2019-01-24,263.209991,3547.5407760171584,121.089996,79.540001
2019-01-25,265.609985,3566.1363192008575,122.860001,79.449997
2019-01-28,263.390015,3558.4066798231015,123.290001,79.480003
2019-01-29,263.920013,3554.0315124583894,123.980003,79.639999
2019-01-30,265.100006,3435.6610981553263,124.690002,79.720001
2019-01-31,267.510010,3396.5082415881798,124.750000,80.089996
2019-02-01,270.149994,3424.897629641008,124.500000,79.669998
2019-02-04,270.109985,3423.346954100577,123.959999,79.599998
2019-02-05,272.440002,3419.5532291868853,124.279999,79.769997
2019-02-06,272.790009,3413.7189107562135,123.440002,79.739998
2019-02-07,270.940002,3417.758761539734,123.739998,79.800003
2019-02-08,268.750000,3374.78164448128,124.209999,79.919998
2019-02-11,271.200012,3365.334603786914,123.599998,79.889999
2019-02-12,272.420013,3519.927453957048,123.860001,79.879997
2019-02-13,275.029999,3599.266691917489,123.370003,79.760002
2019-02-14,273.779999,3580.07204626317,124.059998,79.900002
2019-02-15,276.359985,3582.3911604490627,124.800003,79.930000
2019-02-19,276.480011,3569.621979743876,126.699997,80.000000
2019-02-20,277.809998,3573.5832547046366,126.480003,79.970001
2019-02-21,277.700012,3771.766399817091,125.050003,79.809998
2019-02-22,278.109985,3912.9567623596004,125.500000,79.989998
2019-02-25,280.730011,3916.0197920276732,125.370003,79.959999
2019-02-26,279.130005,3912.6818394859283,125.580002,80.070000
2019-02-27,278.519989,3926.5907350562056,124.690002,79.910004
2019-02-28,278.959991,3804.419398948717,123.989998,79.820000
2019-03-01,280.440002,3797.629946398563,121.879997,79.389999
2019-03-04,281.600006,3773.699413724359,121.559998,79.529999
2019-03-05,279.540009,3815.4244928544,121.720001,79.589996
2019-03-06,279.149994,3815.5333969162657,121.610001,79.690002
2019-03-07,276.829987,3721.215720374871,121.510002,79.919998
2019-03-08,272.940002,3760.243485322377,122.839996,80.019997
2019-03-11,275.260010,3847.338387056322,122.239998,79.980003
2019-03-12,279.059998,3865.07166804087,122.980003,80.169998
2019-03-13,280.480011,3868.519869757891,123.839996,80.129997
2019-03-14,281.369995,3858.135117306779,122.410004,80.059998
2019-03-15,280.540009,3846.6321444390196,122.970001,80.209999
2019-03-18,281.549988,3853.2770903484443,123.040001,80.160004
2019-03-19,283.510010,3844.563551281302,123.379997,80.120003
2019-03-20,282.160004,3882.9913013268124,124.180000,80.470001
2019-03-21,280.640015,3972.3322643730976,123.680000,80.489998
2019-03-22,283.220001,3981.1506164396287,123.970001,80.930000
2019-03-25,278.869995,4000.780891500911,124.919998,81.029999
2019-03-26,280.989990,3991.3267141223278,124.300003,81.050003
2019-03-27,281.109985,3983.008236981514,123.650002,81.199997
2019-03-28,280.350006,3928.523755994652,121.900002,81.239998
2019-03-29,282.390015,3908.4603638238923,122.010002,81.180000
2019-04-01,284.700012,3995.2401480150547,121.529999,80.660004
2019-04-02,286.040009,4009.992301966674,121.980003,80.699997
2019-04-03,287.320007,4062.0746538577255,121.800003,80.589996
2019-04-04,286.779999,4123.917316538348,122.110001,80.669998
2019-04-05,287.920013,4691.426161577962,121.980003,80.730003
2019-04-08,288.100006,5060.9855583099115,122.510002,80.650002
2019-04-09,287.720001,4950.904164540804,123.150002,80.769997
2019-04-10,287.769989,4993.1336947241025,123.529999,80.879997
2019-04-11,288.829987,5248.49182931933,121.949997,80.739998
2019-04-12,290.000000,5216.144041177603,121.830002,80.589996
2019-04-15,290.239990,5321.313250392115,121.599998,80.610001
2019-04-16,290.950012,5117.5749744101095,120.510002,80.470001
2019-04-17,291.399994,5031.519880056267,120.279999,80.470001
2019-04-18,290.100006,5082.182134138799,120.370003,80.580002
2019-04-22,289.170013,5130.60772356532,120.370003,80.500000
2019-04-23,290.679993,5218.128654050394,120.120003,80.639999
2019-04-24,292.790009,5269.720211686349,120.470001,80.849998
2019-04-25,292.119995,5265.575960881778,120.570000,80.830002
2019-04-26,292.100006,5345.153438301812,121.370003,81.010002
2019-04-29,293.510010,5541.392681038407,120.830002,80.839996
2019-04-30,293.489990,5482.141827874826,121.199997,80.959999
2019-05-01,294.720001,5261.663154571038,120.400002,80.769997
2019-05-02,291.679993,5148.440802578258,119.940002,80.589996
2019-05-03,292.820007,5148.143731643322,120.650002,80.739998
2019-05-06,289.250000,5220.834049686502,120.809998,80.839996
2019-05-07,290.149994,5306.372923671608,121.209999,80.959999
2019-05-08,287.529999,5374.372533648518,120.910004,80.900002
2019-05-09,285.230011,5650.38989288406,121.199997,80.980003
2019-05-10,285.619995,5660.141377765434,121.430000,80.970001
2019-05-13,282.420013,5854.087354547438,122.669998,81.139999
