timestamp,spy_price,btc_price
2019-01-02,245.979996,3711.4299882446844
2019-01-03,248.229996,3837.182279535572
2019-01-04,247.589996,3827.3418929125796
2019-01-07,252.690002,3784.865569658102
2019-01-08,256.820007,4019.4743109644955
2019-01-09,257.559998,4015.861240013067
2019-01-10,256.260010,4008.213984342695
2019-01-11,257.679993,3750.4653526028865
2019-01-14,256.859985,3638.1251657938124
2019-01-15,257.820007,3621.9897583341876
2019-01-16,260.829987,3624.5260460920113
2019-01-17,260.010010,3605.4264416936476
2019-01-18,264.980011,3607.2955957124136
2019-01-22,264.820007,3613.2092964851763
2019-01-23,264.010010,3535.573275375434
2019-01-24,263.209991,3547.5407760171584
2019-01-25,265.609985,3566.1363192008575
2019-01-28,263.390015,3558.4066798231015
2019-01-29,263.920013,3554.0315124583894
2019-01-30,265.100006,3435.6610981553263
2019-01-31,267.510010,3396.5082415881798
2019-02-01,270.149994,3424.897629641008
2019-02-04,270.109985,3423.346954100577
2019-02-05,272.440002,3419.5532291868853
2019-02-06,272.790009,3413.7189107562135
2019-02-07,270.940002,3417.758761539734
2019-02-08,268.750000,3374.78164448128
2019-02-11,271.200012,3365.334603786914
2019-02-12,272.420013,3519.927453957048
2019-02-13,275.029999,3599.266691917489
2019-02-14,273.779999,3580.07204626317
2019-02-15,276.359985,3582.3911604490627
2019-02-19,276.480011,3569.621979743876
2019-02-20,277.809998,3573.5832547046366
2019-02-21,277.700012,3771.766399817091
2019-02-22,278.109985,3912.9567623596004
2019-02-25,280.730011,3916.0197920276732
2019-02-26,279.130005,3912.6818394859283
2019-02-27,278.519989,3926.5907350562056
2019-02-28,278.959991,3804.419398948717
2019-03-01,280.440002,3797.629946398563
2019-03-04,281.600006,3773.699413724359
2019-03-05,279.540009,3815.4244928544
2019-03-06,279.149994,3815.5333969162657
2019-03-07,276.829987,3721.215720374871
2019-03-08,272.940002,3760.243485322377
2019-03-11,275.260010,3847.338387056322
2019-03-12,279.059998,3865.07166804087
2019-03-13,280.480011,3868.519869757891
2019-03-14,281.369995,3858.135117306779
2019-03-15,280.540009,3846.6321444390196
2019-03-18,281.549988,3853.2770903484443
2019-03-19,283.510010,3844.563551281302
2019-03-20,282.160004,3882.9913013268124
2019-03-21,280.640015,3972.3322643730976
2019-03-22,283.220001,3981.1506164396287
2019-03-25,278.869995,4000.780891500911
2019-03-26,280.989990,3991.3267141223278
2019-03-27,281.109985,3983.008236981514
2019-03-28,280.350006,3928.523755994652
2019-03-29,282.390015,3908.4603638238923
2019-04-01,284.700012,3995.2401480150547
2019-04-02,286.040009,4009.992301966674
2019-04-03,287.320007,4062.0746538577255
2019-04-04,286.779999,4123.917316538348
2019-04-05,287.920013,4691.426161577962
2019-04-08,288.100006,5060.9855583099115
2019-04-09,287.720001,4950.904164540804
2019-04-10,287.769989,4993.1336947241025
2019-04-11,288.829987,5248.49182931933
2019-04-12,290.000000,5216.144041177603
2019-04-15,290.239990,5321.313250392115
2019-04-16,290.950012,5117.5749744101095
2019-04-17,291.399994,5031.519880056267
2019-04-18,290.100006,5082.182134138799
2019-04-22,289.170013,5130.60772356532
2019-04-23,290.679993,5218.128654050394
2019-04-24,292.790009,5269.720211686349
2019-04-25,292.119995,5265.575960881778
2019-04-26,292.100006,5345.153438301812
2019-04-29,293.510010,5541.392681038407
2019-04-30,293.489990,5482.141827874826
2019-05-01,294.720001,5261.663154571038
2019-05-02,291.679993,5148.440802578258
2019-05-03,292.820007,5148.143731643322
2019-05-06,289.250000,5220.834049686502
2019-05-07,290.149994,5306.372923671608
2019-05-08,287.529999,5374.372533648518
2019-05-09,285.230011,5650.38989288406
2019-05-10,285.619995,5660.141377765434
2019-05-13,282.420013,5854.087354547438
2019-05-14,281.989990,5853.581868287818
2019-05-15,281.589996,6046.677867406099
2019-05-16,285.839996,6294.488468818638
2019-05-17,285.140015,7706.654756885828
2019-05-20,284.059998,7976.242420436576
2019-05-21,285.829987,8073.479994162225
2019-05-22,285.450012,8004.249224910998
2019-05-23,283.160004,7223.7091177839075
2019-05-24,283.739990,7911.350686674081
2019-05-28,283.089996,7959.184296378749
2019-05-29,278.910004,7825.614124040359
2019-05-30,279.109985,7721.87587844082
2019-05-31,276.200012,8006.887465179304
2019-06-03,275.309998,8796.111154486447
2019-06-04,277.119995,8716.16813110689
2019-06-05,282.329987,8636.632787625911
2019-06-06,283.290009,8557.046586244363
2019-06-07,285.929993,8353.051571016205
2019-06-10,289.369995,8409.389339100075
2019-06-11,290.989990,7792.1988403555615
2019-06-12,288.640015,7764.620190431714
2019-06-13,289.399994,7698.259635507299
2019-06-14,289.260010,7966.654900241304
2019-06-17,289.519989,7869.732999276693
2019-06-18,291.390015,7886.5903586119
2019-06-19,292.549988,8078.783644350391
2019-06-20,296.040009,8194.069710801054
2019-06-21,294.130005,8438.396756041544
2019-06-24,294.230011,9263.745775088031
2019-06-25,293.700012,9125.557518021798
2019-06-26,291.750000,9159.347100873441
2019-06-27,291.309998,9416.576116330456
2019-06-28,292.579987,9836.835440026913
2019-07-01,296.679993,10840.863699851814
2019-07-02,295.609985,11356.76218624743
2019-07-03,297.179993,12659.50793363661
2019-07-05,297.440002,11547.29140529661
2019-07-08,297.010010,11667.015296697793
2019-07-09,295.540009,10541.468923890254
2019-07-10,298.369995,10240.118102231696
2019-07-11,299.320007,11376.10242557574
2019-07-12,299.850006,11686.925943473103
2019-07-15,301.130005,11098.54540323064
2019-07-16,300.649994,11969.010691411391
2019-07-17,299.750000,12501.552061735165
2019-07-18,297.190002,12507.839577486242
