Date,Open,High,Low,Close,Adj Close,Volume,timestamp,open,high,low,close,volume,price,count,instrument,exchange,class,pair
2019-01-02,245.979996,251.210007,245.949997,250.179993,240.242630,126925200,2021-02-24,48899.99,51415.41,47002.0,49737.82,29340.570938920002,49693.95623472008,489110.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-03,248.229996,248.570007,243.669998,244.210007,234.509766,144140700,2021-02-23,54125.67,54206.22,44888.08,48899.99,60135.632208360075,48551.11508026361,918397.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-04,247.589996,253.110001,247.169998,252.389999,242.364868,142628800,2021-02-22,57489.16,57577.69,46693.6,54142.13,37770.836648400094,53975.17479806235,683317.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-07,252.690002,255.949997,251.690002,254.380005,244.275818,103139100,2021-02-21,55921.44,58367.0,55531.23,57489.16,13059.36972443996,57209.70643260177,338204.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-08,256.820007,257.309998,254.000000,256.769989,246.570862,102512600,2021-02-20,55983.57,57563.57,54000.1,55923.52,20591.77959519979,56353.16071530864,508926.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-09,257.559998,258.910004,256.190002,257.970001,247.723206,95006600,2021-02-19,51596.0,56370.05,50725.0,55983.56,26435.080439419944,53876.319521201876,460342.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-10,256.260010,259.160004,255.500000,258.880005,248.597061,96823900,2021-02-18,52170.01,52549.99,50875.0,51601.73,15280.433294810111,51888.31597881308,279064.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-11,257.679993,259.010010,257.029999,258.980011,248.693115,73858100,2021-02-17,49141.42,52640.35,48942.87,52170.01,24520.000635310003,51006.36400409564,360124.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-14,256.859985,258.299988,256.410004,257.399994,247.175873,70908200,2021-02-16,47935.66,50645.0,47051.22,49158.71,21129.488350060354,48894.74564109352,324532.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-15,257.820007,260.700012,257.809998,260.350006,250.008698,85208300,2021-02-15,48667.23,49093.44,45768.46,47936.37,17378.12938834997,47629.07675213688,310790.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-16,260.829987,261.970001,260.600006,260.980011,250.613632,77636700,2021-02-14,47240.75,49700.0,47100.13,48680.69,14506.4884604701,48635.22012448304,254658.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-17,260.010010,263.920013,259.959991,262.959991,252.514999,96118400,2021-02-13,47408.34,48199.0,46300.0,47232.45,11748.716666110182,47259.216432398694,243542.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-18,264.980011,266.980011,263.000000,266.459991,255.876007,127900300,2021-02-12,47993.6,48912.0,46300.0,47408.34,22644.351381389934,47582.291326186314,338196.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-22,264.820007,265.059998,261.059998,262.859985,252.418961,115531200,2021-02-11,44850.0,48690.0,44011.0,47997.91,24760.216840269957,46765.452270931535,341526.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-23,264.010010,264.790009,260.660004,263.410004,252.947128,86030300,2021-02-10,46514.73,47349.99,43706.86,44850.0,24118.39760737999,45543.81832092652,371082.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-24,263.209991,264.200012,262.079987,263.549988,253.081543,59204100,2021-02-09,46453.66,48200.0,45020.0,46514.73,33276.455332729995,46722.394297031045,446052.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-25,265.609985,266.700012,263.660004,265.779999,255.223007,96883400,2021-02-08,38871.43,46750.0,38057.01,46448.1,40373.95661580997,42988.775179093354,462387.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-28,263.390015,263.829987,261.790009,263.760010,253.283234,85613700,2021-02-07,39266.1,39737.83,37371.35,38871.42,19564.4785761201,38619.39324373281,262860.0,cbse/btc-usd,cbse,spot,btc-usd
2019-01-29,263.920013,264.549988,262.480011,263.410004,252.947128,66136300,2021-02-06,38327.09,41000.0,38250.0,39265.43,25865.60718066968,39769.105187279565,324513.0,cbse/btc-usd,cbse,spot,btc-usd
